TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_DEFAULT,PROCESSED
SAT_APPROVALS,ACTION_ID,"NUMERIC(32,6)",,0
SAT_APPROVALS,ACTION_TITLE,VARCHAR(4000),,0
SAT_APPROVALS,BUYER_ID,VARCHAR(4000),,0
SAT_APPROVALS,BUYER_NAME,VARCHAR(4000),,0
SAT_APPROVALS,BUYER_USER_NAME,VARCHAR(4000),,0
SAT_APPROVALS,CREATED_DATE,DATETIME,,0
SAT_APPROVALS,PLANNED_DELIVERY_DATE,DATETIME,,0
SAT_APPROVALS,SENT_DATE,DATETIME,,0
SAT_APPROVALS,SUPPLIER_ID,VARCHAR(4000),,0
SAT_APPROVALS,SUPPLIER_NAME,VARCHAR(4000),,0
SAT_BUYERS,NAME,VARCHAR(4000),,0
SAT_DELIVERIES,ACTUAL_DELIVERY_DATE,DATETIME,,0
SAT_DELIVERIES,BUYER_ID,VARCHAR(4000),,0
SAT_DELIVERIES,DELIVERY_FEES_WITHOUT_VAT,"NUMERIC(32,6)",,0
SAT_DELIVERIES,DELIVERY_FEES_WITH_VAT,"NUMERIC(32,6)",,0
SAT_DELIVERIES,PLANNED_DELIVERY_DATE,DATETIME,,0
SAT_DELIVERIES,SENT_DATE,DATETIME,,0
SAT_DELIVERIES,SUPPLIER_ID,VARCHAR(4000),,0
SAT_DISCOUNT,ALIGN,"NUMERIC(32,6)",,0
SAT_DISCOUNT,CATEGORYGROUPID1,"NUMERIC(32,6)",,0
SAT_DISCOUNT,CATEGORYGROUPID2,"NUMERIC(32,6)",,0
SAT_DISCOUNT,CATEGORYGROUPID3,"NUMERIC(32,6)",,0
SAT_DISCOUNT,CATEGORYGROUPID4,"NUMERIC(32,6)",,0
SAT_DISCOUNT,CUSTOMERINFOTYPE,"NUMERIC(32,6)",,0
SAT_DISCOUNT,DISCOUNTID,"NUMERIC(32,6)",,0
SAT_DISCOUNT,DISCOUNTMASTERID,"NUMERIC(32,6)",,0
SAT_DISCOUNT,DISCOUNTPOSREF,"NUMERIC(32,6)",,0
SAT_DISCOUNT,DISCOUNTREPORTID,"NUMERIC(32,6)",,0
SAT_DISCOUNT,EXTREF1,VARCHAR(4000),,0
SAT_DISCOUNT,EXTREF1MASTER,VARCHAR(4000),,0
SAT_DISCOUNT,EXTREF2,VARCHAR(4000),,0
SAT_DISCOUNT,EXTREF2MASTER,VARCHAR(4000),,0
SAT_DISCOUNT,LASTUSEDDATETIME,DATETIME,,0
SAT_DISCOUNT,LOCATIONID,"NUMERIC(32,6)",,0
SAT_DISCOUNT,MASTERALIAS,"NUMERIC(32,6)",,0
SAT_DISCOUNT,NAME,VARCHAR(4000),,0
SAT_DISCOUNT,NAMEMASTER,VARCHAR(4000),,0
SAT_DISCOUNT,ORGANIZATIONID,"NUMERIC(32,6)",,0
SAT_DISCOUNT,POSPERCENT,"NUMERIC(32,6)",,0
SAT_DISCOUNT,REPORTFLAG,"NUMERIC(32,6)",,0
SAT_DISCOUNT,SPOSREPORTGROUPID,"NUMERIC(32,6)",,0
SAT_DISCOUNT,TEMPFLAG,"NUMERIC(32,6)",,0
SAT_DISCOUNT,TYPE,"NUMERIC(32,6)",,0
SAT_DISCOUNT,TYPEMASTER,"NUMERIC(32,6)",,0
SAT_DISCOUNT,XBRCATEGORY,"NUMERIC(32,6)",,0
SAT_INVENTORYITEMS,CATEGORY_ID,VARCHAR(4000),,0
SAT_INVENTORYITEMS,CATEGORY_NAME,VARCHAR(4000),,0
SAT_INVENTORYITEMS,IS_DELETED,TINYINT,,0
SAT_INVENTORYITEMS,ITEM_NAME,VARCHAR(4000),,0
SAT_INVENTORYITEMS,ITEM_UOMID,VARCHAR(4000),,0
SAT_INVENTORYITEMS,ITEM_UOMNAME,VARCHAR(4000),,0
SAT_INVENTORYITEMS,MIN_ORDER_QTY,"NUMERIC(32,6)",,0
SAT_INVENTORYITEMS,PACKS_PER_CASE,"NUMERIC(32,6)",,0
SAT_INVENTORYITEMS,PACK_QTY,"NUMERIC(32,6)",,0
SAT_INVENTORYITEMS,PRICE,"NUMERIC(32,6)",,0
